,baseMean,log2FoldChange,lfcSE,pvalue,padj
Hdlbp-202,61.9732156461381,4.76577827254919,0.661872066908578,4.77154452903283e-13,3.4399953913336e-11
Cnot7-211,102.54775051765,-4.18546058919355,0.588297231336796,5.66790752896454e-13,4.05897751174247e-11
Ubap2-201,52.2907929162182,2.08610445555477,0.29942482346917,8.29878267050864e-13,5.90367704944396e-11
Tcl1b2-201,208.791454391839,-4.08547875794563,0.577806289894297,8.37662705331287e-13,5.91985051359782e-11
Cactin-201,23.0224193131055,-2.96416374575754,0.434366297188893,8.6347971658228e-13,6.06241772256657e-11
Pdia3-201,101.242223100566,4.54387074873261,0.648438188038482,8.80844528591436e-13,6.14417657540857e-11
Yipf1-201,24.2821237075427,-3.18329222883061,0.471233090001881,1.1578936511239e-12,8.02457651636965e-11
Rab3gap2-201,53.0520110201329,2.07806191850436,0.299157068974809,1.17370810610878e-12,8.0820336383465e-11
Chd7-202,36.3479717174984,2.6990377361067,0.390670524256555,1.21045143289233e-12,8.28195496313974e-11
Dock7-214,73.1808270283942,-2.66860470036303,0.385194070138937,1.23049966936001e-12,8.36584015712992e-11
Slc23a2-201,59.2203994991193,-2.51162449118223,0.365323730023196,1.35962297579436e-12,9.1855786201151e-11
Arhgef16-201,29.0054297309822,-2.55776829896547,0.375727128041774,1.44873880547262e-12,9.72647015524178e-11
Astl-201,195.486596511367,2.77449103536364,0.410184224616066,1.50344383817863e-12,9.97488403686788e-11
Ftdc2-201,424.584367245846,4.41189548437902,0.633940655973368,1.50431131444107e-12,9.97488403686788e-11
Paip2b-201,41.8275600760668,4.62008722340279,0.655711887193641,1.68501121031678e-12,1.11045340007502e-10
Nap1l4-201,67.1250318610173,2.26761172187889,0.330660566177977,1.80812013800719e-12,1.18431869039471e-10
Tsc22d1-201,84.4118131873882,2.99614264997504,0.434755214117724,1.86146888422067e-12,1.21187265177566e-10
Trp53bp1-202,98.4115961714165,-2.92116101257856,0.424215947583965,2.27909221025843e-12,1.47481979051783e-10
Zc3h3-201,83.2628436895262,-2.44538699090639,0.362783557447218,3.15894825083695e-12,2.03194144374195e-10
Ireb2-201,48.9045000370617,-2.9435880623972,0.432018582259266,3.70816160528079e-12,2.37101618832895e-10
Elmod2-206,42.3726012175464,3.12808157383039,0.467532057078904,3.75968098086283e-12,2.37615100278895e-10
Fpgs-201,125.483954171175,-1.79631073693706,0.265558053599185,3.76043260541912e-12,2.37615100278895e-10
Hnrnpk-201,121.052843081309,-1.93702409612822,0.286405984061542,3.87632865510811e-12,2.43505979024394e-10
Rab3gap1-201,49.1855721020884,3.41560320320292,0.505187932554124,3.98973479085848e-12,2.49172855368615e-10
Zar1-201,313.343337714079,1.51239515420746,0.223969702147312,4.7757648413495e-12,2.96539109397551e-10
Fbxw16-201,184.151731838291,2.2912855477328,0.34335610427538,4.99071479310154e-12,3.08104932801705e-10
Uba2-201,50.6744095613521,2.39367727563674,0.360701800452636,7.29729411237195e-12,4.4792876202914e-10
Ythdf3-201,43.0062297029403,-2.68976876493758,0.402354731357839,7.70504940867282e-12,4.70270686067974e-10
Tcea1-201,66.6664514356769,-3.40813959485795,0.507744859728958,8.56152166337208e-12,5.19592461626796e-10
Foxo1-201,40.9140587630611,2.41112933761528,0.366175117719025,9.38700321280132e-12,5.66489823100628e-10
Cenpj-203,55.5680058363142,-3.78576590848048,0.570869048026018,9.70482626769371e-12,5.82398009874669e-10
Cept1-202,76.7871157269444,-3.55787000795881,0.530767198716392,1.0098762408595e-11,6.02671698850707e-10
Fbxw22-201,154.419195577039,1.7611487190877,0.26744416949646,1.17425608846312e-11,6.96898281893418e-10
Hectd1-201,49.3410149427243,2.64182937871046,0.406121803220543,1.19085694665269e-11,7.02840331516708e-10
Afap1l2-203,66.1297459632897,-2.31929835547127,0.351432688925371,1.19735413021372e-11,7.02840331516708e-10
AU022751-201,735.07547278043,-2.0156530627913,0.309419123890057,1.37189966269526e-11,8.00920987862637e-10
Pabpc4-202,90.2609052030152,2.54990219041579,0.394646516668922,1.56527450057375e-11,9.07070270881547e-10
Actr2-201,50.1882185227055,-2.52519464126133,0.388360373122014,1.57061134224509e-11,9.07070270881547e-10
