,1cell,2cell,4cell,8cell,morula
rna_GV,0.369577698138239,0.345477325321218,0.330638881630464,0.220733998135448,-0.143624256456332
rna_MII,0.459593538120561,0.428246102040731,0.327321922015019,0.132852470767164,-0.272900987913238
rna_1cell,0.464223069185219,0.446136258796556,0.365192069461472,0.174992809410499,-0.26571054295151
rna_2cell,0.199091216346399,0.2435747076555,0.256984667656333,0.178258223244006,-0.113798992229479
rna_4cell,-0.560675035283669,-0.539188411333131,-0.346496405503498,-0.115249916346379,0.594844984718767
rna_8cell,-0.624582434991866,-0.607517535654006,-0.434502031284601,-0.169806673477459,0.602531591597735
