,1cell,2cell,4cell,8cell,morula
ribo_GV,0.655767389313015,0.54991416848685,0.461587549233252,0.273596526454449,-0.34175701482265
ribo_MII,0.476412574793827,0.423827612544429,0.282948308094543,0.0758530843904457,-0.307832064713238
ribo_1cell,0.499381386687478,0.456508286999665,0.299696935776887,0.0919339888462972,-0.324380984183383
ribo_2cell,0.185264751316854,0.208508673726108,0.180606954148751,0.0657807835590554,-0.0976149454742648
ribo_4cell,-0.639730143939788,-0.664029954464769,-0.484771205676929,-0.228583184084272,0.693340819617176
ribo_8cell,-0.718865424064501,-0.740999912222324,-0.556066571008391,-0.273102120680253,0.730863442359149
