,0,1,2
20210301-ITP-MII-25-B,37.48924477504233,32.332287879208415,30.17846734574926
20210301-ITP-MII-50-A,37.01906779661017,32.11228813559322,30.86864406779661
20210301-ITP-MII-50-B,36.91153238546603,30.49170616113744,32.596761453396525
20210318-ITP-MII-50-B,36.30013582060593,31.971893450120575,31.727970729273498
20210513-ITP-1cell-cross-50-A,37.16858016023788,30.238704881473527,32.592714958288596
20210513-ITP-1cell-cross-50-B,36.21860002594146,31.001484427918776,32.77991554613976
20210513-ITP-1cell-cross-50-C,37.13368233579794,32.52469102487992,30.341626639322143
20210513-ITP-1cell-cross-50-D,36.67938074938299,32.248148979133944,31.07247027148306
20210513-ITP-1cell-cross-50-E,36.81910984075133,31.51694569211923,31.66394446712944
20210513-ITP-2cell-cross-50-B,37.605734128750775,30.43510521473303,31.95916065651619
20210513-ITP-2cell-cross-50-C,36.92117355956168,32.79721927654059,30.28160716389773
20210513-ITP-2cell-cross-50-F,36.97876039136152,30.359490962579954,32.66174864605853
20210513-ITP-4cell-cross-50-B,37.13328575959404,31.987392959086584,30.879321281319378
20210513-ITP-4cell-cross-50-C,36.83184090534527,32.28863374169093,30.8795253529638
20210513-ITP-4cell-cross-50-D,36.68102333084755,30.6847063478777,32.63427032127475
20210513-ITP-8cell-cross-50-A,37.566198646445116,29.63967734022136,32.79412401333352
20210513-ITP-8cell-cross-50-B,36.98007275027677,32.584216352997,30.43571089672624
20210513-ITP-8cell-cross-50-C,37.662229530718236,31.751714663363966,30.586055805917802
20210513-ITP-8cell-cross-50-D,37.09508605042462,32.277852117807605,30.627061831767776
20210614-ITP-GV-50-A,37.794955248169245,31.217792243016003,30.987252508814755
20210614-ITP-GV-50-B,37.74020770300106,32.5537656390547,29.70602665794423
20210614-ITP-GV-50-C,38.22760857812219,31.328467591758276,30.44392383011954
20210614-ITP-GV-50-E,38.58335590966185,31.177499199566533,30.23914489077162
20210614-ITP-GV-50-F,38.53378719112456,30.756744831064044,30.709467977811393
20210614-ITP-MII-50-D,36.694537182024995,30.106065530179926,33.19939728779508
