,0,1,2
20210301-ITP-MII-25-B,46.67073746148935,26.45091454106414,26.8783479974465
20210301-ITP-MII-50-A,46.14406779661017,26.593220338983052,27.26271186440678
20210301-ITP-MII-50-B,45.88665086887836,26.171011058451814,27.942338072669827
20210318-ITP-MII-50-B,46.120797183801315,26.12051999889126,27.758682817307427
20210513-ITP-1cell-cross-50-A,46.70645081357892,25.753696208804822,27.539852977616253
20210513-ITP-1cell-cross-50-B,46.33865133238215,26.050989378413824,27.610359289204027
20210513-ITP-1cell-cross-50-C,46.83199309190998,26.809325921528416,26.358680986561605
20210513-ITP-1cell-cross-50-D,47.011442674444694,25.503702041732108,27.4848552838232
20210513-ITP-1cell-cross-50-E,47.06206614944875,25.982033483054305,26.955900367496938
20210513-ITP-2cell-cross-50-B,46.908853471047394,25.180304514290803,27.910842014661803
20210513-ITP-2cell-cross-50-C,47.12501472840815,25.56262519146931,27.312360080122538
20210513-ITP-2cell-cross-50-F,46.702623191958814,25.83075174396577,27.466625064075416
20210513-ITP-4cell-cross-50-B,47.375515382175706,25.566920393276245,27.05756422454805
20210513-ITP-4cell-cross-50-C,47.7256496181948,25.498544196011647,26.77580618579355
20210513-ITP-4cell-cross-50-D,47.57179600346995,25.167790341972697,27.260413654557354
20210513-ITP-8cell-cross-50-A,47.9747182499026,25.290408230999006,26.7348735190984
20210513-ITP-8cell-cross-50-B,47.607939269334175,25.470504507354104,26.921556223311722
20210513-ITP-8cell-cross-50-C,47.76079015018265,25.64969869800069,26.58951115181666
20210513-ITP-8cell-cross-50-D,47.370791875886006,25.63891943454471,26.990288689569287
20210614-ITP-GV-50-A,47.87598318416057,24.647409818280444,27.47660699755899
20210614-ITP-GV-50-B,48.24801700874969,25.353667511652628,26.398315479597677
20210614-ITP-GV-50-C,47.528083138102964,25.889049077911935,26.582867783985105
20210614-ITP-GV-50-E,47.54328497894244,25.34049208186587,27.116222939191687
20210614-ITP-GV-50-F,48.05376954109934,25.94396116994453,26.002269288956125
20210614-ITP-MII-50-D,46.86678287588265,25.757083345643633,27.376133778473722
