,Atg7-201,Hnrnpdl-202,Cdk1-201,Nup155-201,Ulk1-201,Cdc42-202,Rpl21-201,Pgd-201,Terf1-203,Sdf4-201,Pkm-201,Noc2l-201,Slc6a8-203,Pemt-202,Bcat1-201,Zfc3h1-201,Cbx3-201,Txlna-202,Pa2g4-202,Znhit3-201,Card6-201,Srpk1-204,Ccnh-201,Ncoa3-201,Eif3d-201,Rpl26-206,Ddx52-201,Polr1e-204,Spdl1-201,Ddx21-201,Atp6v0a4-202,Mysm1-201,Dnaja2-201,Nop14-201,Ccar1-201,Kdm2b-202,Ltn1-201,Mcm7-201,Plk1-201,BC055324-201,Tmppe-201,Ctsc-201,Gtf3c5-201,Lclat1-201,Tnpo3-201,Mtf1-201,Idh3g-201,Atp13a3-202,Ppat-202,Tprn-201,Slc13a2-201,Cct6a-201,Dnajc21-201,Znrf2-201,Dctd-203,Ankrd10-201,Dyrk3-201,Ppp2ca-201,Eef1b2-204,Isyna1-204,Ltv1-201,Mrps9-201,Rpn2-202,Naalad2-204,Nin-202,Lyar-201,Abhd6-202,Scaf4-201,Umps-201,Rtf2-201,Tgoln1-201,Actr5-201,Cth-201,Stip1-201,Eprs-201,Gmnn-201,Baz1a-205,Wdr48-201,Zfp296-201,Folr1-204
mii,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,
1,0.0,-0.0032258064516129032,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,0.0,,,-0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-0.002512562814070352,,0.0,,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.004366812227074236,-0.002506265664160401,0.0,0.0,,
2,,-0.25149700598802394,0.2836879432624113,-0.8181818181818182,-0.25,-0.05555555555555555,,-0.5151515151515151,,,-0.109375,-0.32051282051282054,,,0.0,0.72,,,,0.4423076923076923,1.0,0.0,,-0.03389830508474576,,0.5294117647058824,,,0.04177897574123984,,-0.027777777777777776,-0.06896551724137931,-0.0375,0.04999999999999999,,-0.047619047619047616,,-0.2962962962962963,,,,,,,-0.3333333333333333,,,-0.13541666666666666,-0.4,0.6666666666666666,,0.5357142857142856,-0.007692307692307693,,-0.00641025641025641,0.38095238095238093,0.5285714285714286,,-0.018518518518518517,0.6111111111111112,0.75,,,-0.1891891891891892,-0.038461538461538464,0.2549019607843137,0.6428571428571428,-0.05128205128205128,,-0.07936507936507936,,-0.2857142857142857,,-0.09734513274336283,,-0.06793478260869565,0.125,0.0,-0.49327354260089684,
4,-0.02941176470588236,-0.17405582922824303,0.33080808080808083,-0.32936507936507936,0.0,-0.5757575757575757,-0.06432125088841509,-0.14748677248677255,0.52,-0.3617021276595745,0.1842105263157895,-0.041284403669724745,-0.5614035087719298,-0.2872869318181818,-0.2777777777777778,0.16666666666666663,-0.45217391304347826,0.14761904761904765,-0.3585434173669467,-0.473421926910299,0.0,-0.40579710144927533,-0.10608203677510614,0.6174242424242424,-0.536231884057971,-0.33461538461538465,0.06349206349206349,-0.3642857142857143,0.2830523513753328,-0.43846153846153846,0.6111111111111112,-0.5074626865671642,0.0,0.37878787878787884,0.13025210084033612,0.4,-0.5238095238095237,0.3223880597014926,-0.07648401826484014,-0.6153846153846154,0.3333333333333333,0.12982456140350873,0.033333333333333326,0.07660738714090287,-0.4444444444444444,-0.5,-0.20398009950248758,-0.06611111111111112,0.02941176470588236,0.3142857142857143,0.2714285714285714,0.26587301587301587,0.09401709401709402,0.31707317073170727,-0.38701298701298703,0.15179252479023642,0.2682926829268293,-0.6153846153846154,-0.3256814921090388,-0.37157987643424534,-0.3773869346733668,-0.6081081081081081,0.5555555555555556,0.4163636363636364,-0.3899456521739131,-0.02941176470588236,-0.06493506493506496,-0.16666666666666663,-0.1384615384615384,-0.1950680898049319,0.08080808080808077,-0.21481481481481482,-0.1607142857142857,0.11204880528723943,-0.28237951807228917,-0.12698412698412698,0.39935064935064934,0.25,-0.3002915451895044,-0.28120978120978124
8,0.36925287356321834,-0.3755395683453237,0.024298865339327735,0.023017902813299296,-0.42242703533026116,-0.07605877268798616,-0.22166169051786264,0.28484848484848485,0.31324972737186474,-0.38652482269503546,0.4537037037037037,0.18692961055389895,0.49029126213592233,0.13027972926662096,-0.28460038986354774,0.5692307692307692,-0.5714285714285714,0.3955014058106842,0.16326530612244894,0.0912128877646119,-0.5692307692307692,-0.5205882352941176,0.4879227053140096,0.04415584415584417,0.009104595311491881,-0.10395514780835885,-0.35233918128654973,0.1253229974160207,0.06029411764705883,-0.04177978883861233,0.4218266253869969,-0.262987012987013,-0.2835337650323774,0.42380204241948155,0.3991228070175439,0.3902439024390244,-0.3987854251012146,0.3870466321243523,0.3098451766574037,-0.3562610229276896,0.5983333333333334,0.334788384892769,0.36607142857142855,-0.31386554621848745,-0.4166666666666667,0.44417651314203044,0.47619047619047616,-0.20040160642570282,-0.26025824964132,0.34761904761904766,0.597254004576659,0.015507518796992525,0.3391789557592667,-0.4028941355674029,0.18518518518518517,0.2541751012145749,-0.6111111111111112,-0.5666666666666667,-0.14166666666666666,-0.12790697674418605,0.1299837925445705,0.29792531120331955,0.41980783444198083,0.012055335968379433,-0.11556687596256371,-0.4564459930313589,-0.37058212058212053,-0.5666666666666667,-0.36235294117647054,0.30588235294117644,0.5975609756097561,0.33416875522138684,0.20413573700954402,-0.15726131666498644,-0.27758571016997985,-0.3991769547325103,-0.19817073170731703,-0.5016835016835016,0.08939096267190572,-0.016950153555398084
