transcript,p_val,conf_mid,maternal_x,paternal_x,maternal_y,paternal_y,fdr
Bmi1-201,1.906544151415411e-09,0.41711057304277643,14,16,365,48,1.1439264908492466e-08
Dyrk3-201,0.0023451786568614874,0.5285714285714286,1,13,21,14,0.0070355359705844625
Zfp296-201,0.006274670765095242,-0.49327354260089684,10,0,113,110,0.012549341530190484
Riok2-201,0.012093289341765024,-0.5625,10,0,7,9,0.018139934012647536
